ID;Nome e cognome;Email (chiave);Tipologia stakeholder;Regione;Canale di ingaggio;In database DEM
42;Mariangela Bruno;mariangela.bruno@example.org;HCP - Diabetologo;Emilia-Romagna;Database DEM;true
43;Giorgia Donati;giorgia.donati@example.org;HCP - Infermiere / Educatore;Abruzzo;Database DEM;true
44;Giorgia Benedetti;giorgia.benedetti@example.org;Farmacia ospedaliera;Lombardia;Database DEM;true
45;Claudio Damico;claudio.damico@example.org;HCP - Endocrinologo;Sicilia;Database DEM;true
46;Beatrice Landi;beatrice.landi@example.org;HCP - Endocrinologo;Sicilia;Database DEM;true
47;Giulio Guerra;giulio.guerra@example.org;HCP - Diabetologo;Campania;Database DEM;true
48;Giorgio Franco;giorgio.franco@example.org;HCP - Diabetologo;Lazio;Database DEM;true
49;Luigi Monaco;luigi.monaco@example.org;HCP - Diabetologo;Piemonte;Database DEM;true
50;Anna Giuliani;anna.giuliani@example.org;HCP - Diabetologo;Puglia;Database DEM;true
51;Viola Caruso;viola.caruso@example.org;HCP - Endocrinologo;Emilia-Romagna;Database DEM;true
52;Ilaria Ruggiero;ilaria.ruggiero@example.org;HCP - Infermiere / Educatore;Campania;Database DEM;true
53;Serena Sartori;serena.sartori@example.org;HCP - Diabetologo;Sicilia;Database DEM;true
54;Susanna Testa;susanna.testa@example.org;HCP - Infermiere / Educatore;Toscana;Database DEM;true
55;Margherita Barbieri;margherita.barbieri@example.org;Studio medico / Ambulatorio;Veneto;Database DEM;true
56;Matteo Palmieri;matteo.palmieri@example.org;HCP - Infermiere / Educatore;Lombardia;Database DEM;true
57;Paolo Monaco;paolo.monaco@example.org;HCP - Diabetologo;Campania;Database DEM;true
58;Marco Farina;marco.farina@example.org;HCP - Diabetologo;Sardegna;Database DEM;true
59;Stefano Caputo;stefano.caputo@example.org;HCP - Diabetologo;Veneto;Database DEM;true
60;Daniele Gentile;daniele.gentile@example.org;HCP - Diabetologo;Lombardia;Database DEM;true
61;Pietro Pagano;pietro.pagano@example.org;Studio medico / Ambulatorio;Lombardia;Database DEM;true
62;Lucia Giuliani;lucia.giuliani@example.org;Altro / Industry;Friuli-Venezia Giulia;Database DEM;true
63;Daniele Farina;daniele.farina@example.org;HCP - Infermiere / Educatore;Campania;Database DEM;true
64;Martina Toscano;martina.toscano@example.org;HCP - Diabetologo;Toscana;Database DEM;true
65;Roberto Grassi;roberto.grassi@example.org;HCP - Diabetologo;Abruzzo;Database DEM;true
66;Valentina Melchiorre;valentina.melchiorre@example.org;HCP - Endocrinologo;Lazio;Database DEM;true
67;Francesco Melchiorre;francesco.melchiorre@example.org;HCP - Diabetologo;Abruzzo;Database DEM;true
68;Manuela Costa;manuela.costa@example.org;HCP - Endocrinologo;Friuli-Venezia Giulia;Database DEM;true
69;Silvia Lorenzi;silvia.lorenzi@example.org;HCP - Endocrinologo;Marche;Database DEM;true
70;Antonio Castelli;antonio.castelli@example.org;HCP - Medico di medicina generale;Campania;Database DEM;true
71;Michela Esposito;michela.esposito@example.org;HCP - Diabetologo;Campania;Database DEM;true
72;Nicola Deluca;nicola.deluca@example.org;Direzione sanitaria;Lazio;Database DEM;true
73;Riccardo Pellegrini;riccardo.pellegrini@example.org;HCP - Medico di medicina generale;Campania;Database DEM;true
74;Samuele Nardi;samuele.nardi@example.org;HCP - Diabetologo;Lombardia;Database DEM;true
75;Vincenzo Galli;vincenzo.galli@example.org;HCP - Diabetologo;Lombardia;Database DEM;true
76;Gabriele Rizzo;gabriele.rizzo@example.org;HCP - Endocrinologo;Sicilia;Database DEM;true
77;Francesco Sala;francesco.sala@example.org;HCP - Medico di medicina generale;Calabria;Database DEM;true
78;Gianluca Moretti;gianluca.moretti@example.org;HCP - Diabetologo;Liguria;Database DEM;true
79;Valentina Giuliani;valentina.giuliani@example.org;HCP - Endocrinologo;Toscana;Database DEM;true
80;Giorgio Testa;giorgio.testa@example.org;HCP - Infermiere / Educatore;Liguria;Database DEM;true
81;Alessandro Bassi;alessandro.bassi@example.org;Direzione sanitaria;Liguria;Database DEM;true
82;Serena Giordano;serena.giordano@example.org;Farmacia ospedaliera;Toscana;Database DEM;true
83;Riccardo Innocenti;riccardo.innocenti@example.org;HCP - Medico di medicina generale;Puglia;Database DEM;true
84;Angela Giuliani;angela.giuliani@example.org;HCP - Diabetologo;Lombardia;Database DEM;true
85;Lorenzo Denicola;lorenzo.denicola@example.org;HCP - Diabetologo;Lazio;Database DEM;true
86;Filippo Ferretti;filippo.ferretti@example.org;HCP - Medico di medicina generale;Puglia;Database DEM;true
87;Valeria Bruno;valeria.bruno@example.org;Studio medico / Ambulatorio;Lazio;Database DEM;true
88;Andrea Carbone;andrea.carbone@example.org;HCP - Diabetologo;Lazio;Database DEM;true
89;Massimo Bernardi;massimo.bernardi@example.org;Altro / Industry;Puglia;Database DEM;true
90;Federica Amato;federica.amato@example.org;HCP - Diabetologo;Emilia-Romagna;Database DEM;true
91;Roberta Manfredi;roberta.manfredi@example.org;HCP - Medico di medicina generale;Lazio;Database DEM;true
92;Claudia Santoro;claudia.santoro@example.org;HCP - Endocrinologo;Veneto;Database DEM;true
93;Roberto Ricci;roberto.ricci@example.org;HCP - Diabetologo;Lombardia;Database DEM;true
94;Tommaso Ricci;tommaso.ricci@example.org;Studio medico / Ambulatorio;Veneto;Database DEM;true
95;Serena Desantis;serena.desantis@example.org;HCP - Diabetologo;Marche;Database DEM;true
96;Laura Denicola;laura.denicola@example.org;HCP - Endocrinologo;Piemonte;Database DEM;true
97;Marco Franco;marco.franco@example.org;Studio medico / Ambulatorio;Lombardia;Database DEM;true
98;Cristina Vitale;cristina.vitale@example.org;Studio medico / Ambulatorio;Lazio;Database DEM;true
99;Matteo Bellini;matteo.bellini@example.org;HCP - Diabetologo;Lombardia;Database DEM;true
100;Marta Amato;marta.amato@example.org;HCP - Endocrinologo;Sicilia;Database DEM;true
101;Raffaella Gallo;raffaella.gallo@example.org;HCP - Diabetologo;Lombardia;Database DEM;true
102;Claudia Gatti;claudia.gatti@example.org;HCP - Diabetologo;Abruzzo;Database DEM;true
103;Serena Carbone;serena.carbone@example.org;Direzione sanitaria;Lombardia;Database DEM;true
104;Pietro Cirillo;pietro.cirillo@example.org;HCP - Endocrinologo;Puglia;Database DEM;true
105;Jacopo Leone;jacopo.leone@example.org;HCP - Infermiere / Educatore;Piemonte;Database DEM;true
106;Pietro Conte;pietro.conte@example.org;HCP - Diabetologo;Friuli-Venezia Giulia;Database DEM;true
107;Riccardo Longo;riccardo.longo@example.org;HCP - Diabetologo;Puglia;Database DEM;true
108;Elena Bernardi;elena.bernardi@example.org;HCP - Medico di medicina generale;Friuli-Venezia Giulia;Database DEM;true
109;Silvia Deluca;silvia.deluca@example.org;HCP - Infermiere / Educatore;Toscana;Database DEM;true
110;Enrico Greco;enrico.greco@example.org;HCP - Endocrinologo;Lombardia;Database DEM;true
111;Caterina Franco;caterina.franco@example.org;HCP - Infermiere / Educatore;Sardegna;Database DEM;true
112;Michela Barbieri;michela.barbieri@example.org;HCP - Medico di medicina generale;Emilia-Romagna;Database DEM;true
113;Irene Ferretti;irene.ferretti@example.org;HCP - Endocrinologo;Campania;Database DEM;true
114;Andrea Franco;andrea.franco@example.org;Studio medico / Ambulatorio;Lombardia;Database DEM;true
115;Irene Neri;irene.neri@example.org;HCP - Medico di medicina generale;Campania;Database DEM;true
116;Antonio Manfredi;antonio.manfredi@example.org;HCP - Infermiere / Educatore;Liguria;Database DEM;true
117;Luca Ricci;luca.ricci@example.org;HCP - Diabetologo;Lazio;Database DEM;true
118;Paola Esposito;paola.esposito@example.org;HCP - Medico di medicina generale;Liguria;Database DEM;true
119;Jacopo Colombo;jacopo.colombo@example.org;HCP - Diabetologo;Piemonte;Database DEM;true
120;Rosanna Parisi;rosanna.parisi@example.org;HCP - Diabetologo;Puglia;Database DEM;true
121;Paolo Bianco;paolo.bianco@example.org;HCP - Diabetologo;Lazio;Database DEM;true
122;Samuele Conte;samuele.conte@example.org;HCP - Diabetologo;Lazio;Database DEM;true
123;Sofia Franco;sofia.franco@example.org;HCP - Diabetologo;Lazio;Database DEM;true
124;Vittorio Bonetti;vittorio.bonetti@example.org;HCP - Medico di medicina generale;Lazio;Database DEM;true
125;Serena Lombardi;serena.lombardi@example.org;HCP - Diabetologo;Lombardia;Database DEM;true
126;Mauro Farina;mauro.farina@example.org;Studio medico / Ambulatorio;Veneto;Database DEM;true
127;Massimo Innocenti;massimo.innocenti@example.org;HCP - Medico di medicina generale;Sicilia;Database DEM;true
128;Jacopo Ruggiero;jacopo.ruggiero@example.org;HCP - Medico di medicina generale;Lazio;Database DEM;true
129;Giovanni Esposito;giovanni.esposito@example.org;HCP - Infermiere / Educatore;Sicilia;Database DEM;true
130;Marco Ricci;marco.ricci@example.org;HCP - Endocrinologo;Veneto;Database DEM;true
131;Giorgio Esposito;giorgio.esposito@example.org;HCP - Diabetologo;Lombardia;Database DEM;true
132;Filippo Galli;filippo.galli@example.org;Studio medico / Ambulatorio;Campania;Database DEM;true
133;Manuela Cattaneo;manuela.cattaneo@example.org;HCP - Endocrinologo;Campania;Database DEM;true
134;Sofia Zanetti;sofia.zanetti@example.org;HCP - Medico di medicina generale;Emilia-Romagna;Database DEM;true
135;Luigi Giordano;luigi.giordano@example.org;HCP - Endocrinologo;Campania;Database DEM;true
136;Margherita Mancini;margherita.mancini@example.org;Farmacia ospedaliera;Sardegna;Database DEM;true
137;Alessandro Rossi;alessandro.rossi@example.org;Direzione sanitaria;Abruzzo;Database DEM;true
138;Giovanni Fabbri;giovanni.fabbri@example.org;HCP - Infermiere / Educatore;Lombardia;Database DEM;true
139;Giuseppe Costa;giuseppe.costa@example.org;HCP - Medico di medicina generale;Friuli-Venezia Giulia;Database DEM;true
140;Filippo Fiore;filippo.fiore@example.org;HCP - Diabetologo;Toscana;Database DEM;true
141;Giorgia Moretti;giorgia.moretti@example.org;HCP - Diabetologo;Friuli-Venezia Giulia;Database DEM;true
142;Ludovica Conte;ludovica.conte@example.org;Studio medico / Ambulatorio;Veneto;Database DEM;true
143;Claudio Sala;claudio.sala@example.org;HCP - Diabetologo;Puglia;Database DEM;true
144;Ilaria Gatti;ilaria.gatti@example.org;Direzione sanitaria;Emilia-Romagna;Database DEM;true
145;Teresa Valente;teresa.valente@example.org;Farmacia ospedaliera;Puglia;Database DEM;true
146;Anna Riva;anna.riva@example.org;HCP - Diabetologo;Toscana;Database DEM;true
147;Francesca Giordano;francesca.giordano@example.org;HCP - Diabetologo;Lombardia;Database DEM;true
148;Paola Zanetti;paola.zanetti@example.org;HCP - Diabetologo;Lazio;Database DEM;true
149;Vincenzo Pesce;vincenzo.pesce@example.org;HCP - Medico di medicina generale;Lombardia;Database DEM;true
150;Claudia Ariemma;claudia.ariemma@example.org;Studio medico / Ambulatorio;Lazio;Database DEM;true
151;Silvia Lombardi;silvia.lombardi@example.org;HCP - Diabetologo;Sicilia;Database DEM;true
152;Ludovica Lombardi;ludovica.lombardi@example.org;Farmacia ospedaliera;Piemonte;Database DEM;true
153;Roberto Bruni;roberto.bruni@example.org;Farmacia ospedaliera;Marche;Database DEM;true
154;Pietro Rizzo;pietro.rizzo@example.org;HCP - Diabetologo;Veneto;Database DEM;true
155;Viola Sartori;viola.sartori@example.org;HCP - Diabetologo;Sicilia;Database DEM;true
156;Ludovica Cardone;ludovica.cardone@example.org;Studio medico / Ambulatorio;Emilia-Romagna;Database DEM;true
157;Manuela Ricci;manuela.ricci@example.org;HCP - Diabetologo;Toscana;Database DEM;true
158;Anna Bianchi;anna.bianchi@example.org;HCP - Diabetologo;Veneto;Database DEM;true
159;Elisa Ariemma;elisa.ariemma@example.org;HCP - Endocrinologo;Calabria;Database DEM;true
160;Giulio Bernardi;giulio.bernardi@example.org;HCP - Infermiere / Educatore;Emilia-Romagna;Database DEM;true
161;Massimo Neri;massimo.neri@example.org;HCP - Endocrinologo;Lombardia;Database DEM;true
162;Stefano Fiore;stefano.fiore@example.org;HCP - Infermiere / Educatore;Emilia-Romagna;Database DEM;true
163;Luca Fumagalli;luca.fumagalli@example.org;HCP - Endocrinologo;Lazio;Database DEM;true
164;Manuela Parisi;manuela.parisi@example.org;HCP - Diabetologo;Veneto;Database DEM;true
165;Michele Gentile;michele.gentile@example.org;HCP - Medico di medicina generale;Lazio;Database DEM;true
166;Marta Messina;marta.messina@example.org;HCP - Medico di medicina generale;Liguria;Database DEM;true
167;Sabrina Lombardi;sabrina.lombardi@example.org;HCP - Medico di medicina generale;Veneto;Database DEM;true
168;Claudia Esposito;claudia.esposito@example.org;HCP - Diabetologo;Lazio;Database DEM;true
169;Valentina Agostini;valentina.agostini@example.org;Studio medico / Ambulatorio;Sicilia;Database DEM;true
170;Ludovica Ferrari;ludovica.ferrari@example.org;HCP - Endocrinologo;Lombardia;Database DEM;true
171;Giulio Zanini;giulio.zanini@example.org;HCP - Diabetologo;Lombardia;Database DEM;true
172;Elisa Serra;elisa.serra@example.org;HCP - Medico di medicina generale;Emilia-Romagna;Database DEM;true
173;Massimo Antonelli;massimo.antonelli@example.org;HCP - Diabetologo;Veneto;Database DEM;true
174;Nicola Santoro;nicola.santoro@example.org;HCP - Endocrinologo;Piemonte;Database DEM;true
175;Susanna Carbone;susanna.carbone@example.org;HCP - Infermiere / Educatore;Lombardia;Database DEM;true
176;Matteo Marchetti;matteo.marchetti@example.org;Direzione sanitaria;Lazio;Database DEM;true
177;Rosanna Cardone;rosanna.cardone@example.org;Studio medico / Ambulatorio;Lombardia;Database DEM;true
178;Giovanna Zanini;giovanna.zanini@example.org;HCP - Medico di medicina generale;Puglia;Database DEM;true
179;Caterina Fabbri;caterina.fabbri@example.org;HCP - Infermiere / Educatore;Emilia-Romagna;Database DEM;true
180;Massimo Salerno;massimo.salerno@example.org;Altro / Industry;Puglia;Database DEM;true
181;Lucia Guerra;lucia.guerra@example.org;HCP - Diabetologo;Campania;Database DEM;true
182;Paola Gatti;paola.gatti@example.org;Studio medico / Ambulatorio;Calabria;Database DEM;true
183;Marco Galli;marco.galli@example.org;HCP - Diabetologo;Lazio;Database DEM;true
184;Chiara Franco;chiara.franco@example.org;Direzione sanitaria;Sicilia;Database DEM;true
185;Stefano Donati;stefano.donati@example.org;Studio medico / Ambulatorio;Puglia;Database DEM;true
186;Marco Sorrentino;marco.sorrentino@example.org;HCP - Diabetologo;Veneto;Database DEM;true
187;Paola Cerri;paola.cerri@example.org;HCP - Infermiere / Educatore;Veneto;Database DEM;true
188;Emanuele Deluca;emanuele.deluca@example.org;HCP - Endocrinologo;Friuli-Venezia Giulia;Database DEM;true
189;Giorgio Fontana;giorgio.fontana@example.org;HCP - Endocrinologo;Lazio;Database DEM;true
190;Angela Bellini;angela.bellini@example.org;HCP - Diabetologo;Veneto;Database DEM;true
191;Antonio Esposito;antonio.esposito@example.org;Farmacia ospedaliera;Lazio;Database DEM;true
192;Emanuele Rossi;emanuele.rossi@example.org;HCP - Endocrinologo;Veneto;Database DEM;true
193;Daniela Negri;daniela.negri@example.org;HCP - Medico di medicina generale;Lazio;Database DEM;true
194;Marco Orlando;marco.orlando@example.org;Studio medico / Ambulatorio;Piemonte;Database DEM;true
195;Margherita Cardone;margherita.cardone@example.org;HCP - Medico di medicina generale;Campania;Database DEM;true
196;Giuseppe Bernardi;giuseppe.bernardi@example.org;HCP - Diabetologo;Emilia-Romagna;Database DEM;true
197;Laura Guerra;laura.guerra@example.org;HCP - Diabetologo;Emilia-Romagna;Database DEM;true
198;Cristina Denicola;cristina.denicola@example.org;HCP - Infermiere / Educatore;Lazio;Database DEM;true
199;Vincenzo Bacci;vincenzo.bacci@example.org;Altro / Industry;Lazio;Database DEM;true
200;Michela Sartori;michela.sartori@example.org;HCP - Endocrinologo;Liguria;Database DEM;true
201;Giorgia Costa;giorgia.costa@example.org;HCP - Medico di medicina generale;Liguria;Database DEM;true
202;Daniele Serra;daniele.serra@example.org;HCP - Diabetologo;Toscana;Database DEM;true
203;Sabrina Orlando;sabrina.orlando@example.org;HCP - Medico di medicina generale;Friuli-Venezia Giulia;Database DEM;true
204;Claudia Bruno;claudia.bruno@example.org;HCP - Diabetologo;Emilia-Romagna;Database DEM;true
205;Serena Russo;serena.russo@example.org;HCP - Endocrinologo;Campania;Database DEM;true
206;Teresa Denicola;teresa.denicola@example.org;HCP - Medico di medicina generale;Liguria;Database DEM;true
207;Ilaria Barbieri;ilaria.barbieri@example.org;Studio medico / Ambulatorio;Lazio;Database DEM;true
208;Massimo Ruggiero;massimo.ruggiero@example.org;HCP - Diabetologo;Emilia-Romagna;Database DEM;true
209;Anna Mancini;anna.mancini@example.org;HCP - Endocrinologo;Campania;Database DEM;true
210;Giorgio Carbone;giorgio.carbone@example.org;HCP - Medico di medicina generale;Campania;Database DEM;true
211;Caterina Fontana;caterina.fontana@example.org;Studio medico / Ambulatorio;Marche;Database DEM;true
212;Elena Cattaneo;elena.cattaneo@example.org;HCP - Endocrinologo;Lombardia;Database DEM;true
213;Cristina Zanini;cristina.zanini@example.org;HCP - Endocrinologo;Lombardia;Database DEM;true
214;Paolo Deluca;paolo.deluca@example.org;HCP - Diabetologo;Sicilia;Database DEM;true
215;Andrea Monaco;andrea.monaco@example.org;Studio medico / Ambulatorio;Liguria;Database DEM;true
216;Giorgio Bacci;giorgio.bacci@example.org;Altro / Industry;Toscana;Database DEM;true
217;Maria Mazza;maria.mazza@example.org;HCP - Diabetologo;Emilia-Romagna;Database DEM;true
218;Carlo Pesce;carlo.pesce@example.org;HCP - Diabetologo;Lazio;Database DEM;true
219;Angela Cirillo;angela.cirillo@example.org;HCP - Infermiere / Educatore;Lazio;Database DEM;true
220;Raffaella Melchiorre;raffaella.melchiorre@example.org;HCP - Infermiere / Educatore;Umbria;Database DEM;true
221;Paola Innocenti;paola.innocenti@example.org;Studio medico / Ambulatorio;Sardegna;Database DEM;true
222;Giacomo Ferrari;giacomo.ferrari@example.org;HCP - Endocrinologo;Lombardia;Database DEM;true
223;Mauro Benedetti;mauro.benedetti@example.org;Altro / Industry;Veneto;Database DEM;true
224;Simone Barbieri;simone.barbieri@example.org;HCP - Diabetologo;Veneto;Database DEM;true
225;Marco Denicola;marco.denicola@example.org;HCP - Diabetologo;Emilia-Romagna;Database DEM;true
226;Margherita Sanna;margherita.sanna@example.org;HCP - Endocrinologo;Lombardia;Database DEM;true
227;Mauro Silvestri;mauro.silvestri@example.org;Studio medico / Ambulatorio;Lombardia;Database DEM;true
228;Martina Ferretti;martina.ferretti@example.org;HCP - Infermiere / Educatore;Lombardia;Database DEM;true
229;Irene Greco;irene.greco@example.org;HCP - Endocrinologo;Lombardia;Database DEM;true
230;Michela Sala;michela.sala@example.org;HCP - Medico di medicina generale;Abruzzo;Database DEM;true
231;Giulia Parisi;giulia.parisi@example.org;HCP - Infermiere / Educatore;Puglia;Database DEM;true
232;Francesco Ricci;francesco.ricci@example.org;Altro / Industry;Lazio;Database DEM;true
233;Michele Perini;michele.perini@example.org;HCP - Medico di medicina generale;Liguria;Database DEM;true
234;Lorenzo Sala;lorenzo.sala@example.org;HCP - Infermiere / Educatore;Piemonte;Database DEM;true
235;Monica Cristofaro;monica.cristofaro@example.org;HCP - Diabetologo;Veneto;Database DEM;true
236;Manuela Fiore;manuela.fiore@example.org;HCP - Endocrinologo;Lombardia;Database DEM;true
237;Paolo Desantis;paolo.desantis@example.org;Farmacia ospedaliera;Lombardia;Database DEM;true
238;Valentina Piras;valentina.piras@example.org;Studio medico / Ambulatorio;Emilia-Romagna;Database DEM;true
239;Angela Pellegrini;angela.pellegrini@example.org;Farmacia ospedaliera;Friuli-Venezia Giulia;Database DEM;true
240;Lorenzo Neri;lorenzo.neri@example.org;HCP - Infermiere / Educatore;Lombardia;Database DEM;true
241;Federico Cirillo;federico.cirillo@example.org;HCP - Diabetologo;Lombardia;Database DEM;true
242;Paola Riva;paola.riva@example.org;HCP - Infermiere / Educatore;Liguria;Database DEM;true
243;Sara Salerno;sara.salerno@example.org;HCP - Medico di medicina generale;Lombardia;Database DEM;true
244;Cristina Borghi;cristina.borghi@example.org;HCP - Diabetologo;Campania;Database DEM;true
245;Federico Leone;federico.leone@example.org;HCP - Infermiere / Educatore;Sicilia;Database DEM;true
246;Mariangela Antonelli;mariangela.antonelli@example.org;HCP - Diabetologo;Campania;Database DEM;true
247;Claudia Carbone;claudia.carbone@example.org;HCP - Infermiere / Educatore;Umbria;Database DEM;true
248;Marco Valente;marco.valente@example.org;HCP - Diabetologo;Lombardia;Database DEM;true
249;Simone Bellini;simone.bellini@example.org;HCP - Medico di medicina generale;Emilia-Romagna;Database DEM;true
250;Manuela Desantis;manuela.desantis@example.org;Studio medico / Ambulatorio;Abruzzo;Database DEM;true
251;Anna Romano;anna.romano@example.org;Altro / Industry;Toscana;Database DEM;true
252;Francesco Borghi;francesco.borghi@example.org;HCP - Endocrinologo;Sicilia;Database DEM;true
253;Silvia Fumagalli;silvia.fumagalli@example.org;HCP - Infermiere / Educatore;Sardegna;Database DEM;true
254;Caterina Abbate;caterina.abbate@example.org;Direzione sanitaria;Toscana;Database DEM;true
255;Susanna Ricci;susanna.ricci@example.org;HCP - Diabetologo;Lombardia;Database DEM;true
256;Laura Ruggiero;laura.ruggiero@example.org;HCP - Diabetologo;Campania;Database DEM;true
257;Antonio Mazza;antonio.mazza@example.org;HCP - Diabetologo;Veneto;Database DEM;true
258;Stefano Sala;stefano.sala@example.org;HCP - Medico di medicina generale;Abruzzo;Database DEM;true
259;Mauro Grassi;mauro.grassi@example.org;HCP - Infermiere / Educatore;Puglia;Database DEM;true
260;Chiara Lorenzi;chiara.lorenzi@example.org;HCP - Diabetologo;Lombardia;Database DEM;true
261;Luigi Mancini;luigi.mancini@example.org;HCP - Medico di medicina generale;Sicilia;Database DEM;true
262;Elisa Sanna;elisa.sanna@example.org;HCP - Diabetologo;Piemonte;Database DEM;true
263;Daniela Pesce;daniela.pesce@example.org;HCP - Endocrinologo;Lombardia;Database DEM;true
264;Giorgio Gentile;giorgio.gentile@example.org;Studio medico / Ambulatorio;Toscana;Database DEM;true
265;Raffaella Vitale;raffaella.vitale@example.org;Studio medico / Ambulatorio;Marche;Database DEM;true
266;Mariangela Bacci;mariangela.bacci@example.org;HCP - Diabetologo;Sardegna;Database DEM;true
267;Simone Mancini;simone.mancini@example.org;HCP - Endocrinologo;Veneto;Database DEM;true
268;Lorenzo Ferrari;lorenzo.ferrari@example.org;HCP - Diabetologo;Lombardia;Database DEM;true
269;Manuela Gatti;manuela.gatti@example.org;HCP - Diabetologo;Piemonte;Database DEM;true
270;Mauro Palmieri;mauro.palmieri@example.org;HCP - Medico di medicina generale;Marche;Database DEM;true
271;Gianluca Balestra;gianluca.balestra@example.org;HCP - Infermiere / Educatore;Lazio;Database DEM;true
272;Giuseppe Innocenti;giuseppe.innocenti@example.org;Studio medico / Ambulatorio;Veneto;Database DEM;true
273;Mariangela Messina;mariangela.messina@example.org;HCP - Diabetologo;Calabria;Database DEM;true
274;Gianluca Zanetti;gianluca.zanetti@example.org;Studio medico / Ambulatorio;Campania;Database DEM;true
275;Jacopo Bianco;jacopo.bianco@example.org;HCP - Infermiere / Educatore;Campania;Database DEM;true
276;Viola Mazza;viola.mazza@example.org;Studio medico / Ambulatorio;Marche;Database DEM;true
277;Viola Grassi;viola.grassi@example.org;Studio medico / Ambulatorio;Lombardia;Database DEM;true
278;Valentina Grassi;valentina.grassi@example.org;Farmacia ospedaliera;Emilia-Romagna;Database DEM;true
279;Viola Orlando;viola.orlando@example.org;HCP - Infermiere / Educatore;Piemonte;Database DEM;true
